setting,date,mode,total_cost_USD,Tj_RMSE_C,Tj_peak_C,DR_shortfall_kWh,battery_wear,converter_wear,thermal_exceedance_hours
margin_six,2017-10-01,waveform,31.46264560279335,0.19415317999124126,71.54426872015267,0.0,5.85625636182463e-05,4.906875802313915e-07,0.0
margin_zero,2017-01-01,full,254.02560276225148,0.5174322803270001,58.71047554310487,0.00086734519860695,0.0001272328962306,1.1178343568611996e-07,0.0
margin_zero,2017-01-01,full_mean,254.02560276225148,0.0708525420745858,58.71047554310487,0.00086734519860695,0.0001272328962306,1.1178343568611996e-07,0.0
margin_zero,2017-01-01,scalar,254.0306616056711,0.5950320227046038,58.5987630167532,0.0030267542325734,0.0001272328962306,1.0973337715123313e-07,0.0
margin_zero,2017-01-01,waveform,254.02560276225148,0.1956360926121996,58.71047554310487,0.00086734519860695,0.0001272328962306,1.1178343568611996e-07,0.0
margin_zero,2017-04-01,full,18.674567913581125,0.5184279813532262,79.0385855879529,0.0,5.3287043801156685e-05,8.598836132401097e-07,0.0
margin_zero,2017-04-01,full_mean,18.680598884657186,0.0591473719013407,79.02787273865907,0.0,5.325648312749549e-05,8.587371188399495e-07,0.0
margin_zero,2017-04-01,scalar,18.632463710529777,0.28468164676036434,79.11474929628001,0.0,5.3460581284751005e-05,8.684216538707488e-07,0.0
margin_zero,2017-04-01,waveform,18.668671034489705,0.19159656825603777,79.04906056461834,0.0,5.3316923300120145e-05,8.610052227047301e-07,0.0
margin_zero,2017-07-01,full,0.7112047922316664,0.5177748633068646,69.13305972273054,0.0,2.9284529359081823e-05,7.664610076415238e-08,0.0
margin_zero,2017-07-01,full_mean,0.7112193423167813,0.05491074541003695,69.13307238506022,0.0,2.928459360932944e-05,7.664628675221496e-08,0.0
margin_zero,2017-07-01,scalar,0.6984058478151555,0.2782711901626299,69.1337216021634,0.0,2.9259100957465016e-05,7.707864258054677e-08,0.0
margin_zero,2017-07-01,waveform,0.7112074692345943,0.19144785064867204,69.13306235142903,0.0,2.9284541182654794e-05,7.664613909769677e-08,0.0
margin_zero,2017-10-01,full,31.46266171840223,0.5182885076182739,71.54702368207359,0.0,5.856268101951106e-05,4.90858083616217e-07,0.0
margin_zero,2017-10-01,full_mean,31.46268947074774,0.061076829735743896,71.54700053047688,0.0,5.856267995871098e-05,4.908564616105686e-07,0.0
margin_zero,2017-10-01,scalar,31.463792621435793,0.49715146955912837,71.54162566842555,0.0,5.856272724283038e-05,4.914997846088766e-07,0.0
margin_zero,2017-10-01,waveform,31.46264560279335,0.19415317999124126,71.54426872015267,0.0,5.85625636182463e-05,4.906875802313915e-07,0.0
radius_double,2017-01-01,full,252.57344760866616,0.5164469684195454,57.98758093903102,0.0011777910792475999,0.00010728829473980001,8.298826413706105e-08,0.0
radius_double,2017-01-01,full_mean,252.57344760866616,0.07188786595797239,57.98758093903102,0.0011777910792475999,0.00010728829473980001,8.298826413706105e-08,0.0
radius_double,2017-01-01,scalar,252.57751646612505,0.5721946057498204,57.898767435515445,0.0042650491134015,0.0001072543033372,8.107565634915675e-08,0.0
radius_double,2017-01-01,waveform,252.57344760866616,0.1972544298841627,57.98758093903102,0.0011777910792475999,0.00010728829473980001,8.298826413706105e-08,0.0
radius_double,2017-04-01,full,20.120834891206997,0.5185096389717045,78.43672228507612,0.0,6.058524776409706e-05,1.320831054297649e-06,0.0
radius_double,2017-04-01,full_mean,20.11982774182768,0.0601092285833596,78.42916385242077,0.0,6.058314702505885e-05,1.3143805240666214e-06,0.0
radius_double,2017-04-01,scalar,20.158912942430128,0.34746284771110436,80.13912056114319,0.0,6.103573462354528e-05,1.5157434948597877e-06,0.0
radius_double,2017-04-01,waveform,20.11357900393132,0.19121391344771138,78.18692801368306,0.0,6.051547823062879e-05,1.2907610452541904e-06,0.0
radius_double,2017-07-01,full,1.0448908590324022,0.5180927765228251,68.79072164575481,0.0,3.197208086167033e-05,6.909355982808949e-08,0.0
radius_double,2017-07-01,full_mean,1.0448909727028286,0.05395881274057385,68.79072164575481,0.0,3.197208086167033e-05,6.909371873906243e-08,0.0
radius_double,2017-07-01,scalar,1.0422193543428264,0.205830635418428,68.79016108695846,0.0,3.195776929423058e-05,6.881289501843799e-08,0.0
radius_double,2017-07-01,waveform,1.0440767813412792,0.1911293920321173,68.79072164575481,0.0,3.197208086167033e-05,6.905909523659879e-08,0.0
radius_double,2017-10-01,full,34.12188306536113,0.5181369827788187,73.85426268723661,0.0,4.17888257617327e-05,6.46320049272728e-07,0.0
radius_double,2017-10-01,full_mean,34.12188306536113,0.05747437825635045,73.85426268723661,0.0,4.17888257617327e-05,6.46320049272728e-07,0.0
radius_double,2017-10-01,scalar,34.12829090561887,0.49214847199204315,73.88518436865908,0.0,4.197174065006053e-05,6.500830015080015e-07,0.0
radius_double,2017-10-01,waveform,34.12188306536113,0.19105463123723546,73.85426268723661,0.0,4.17888257617327e-05,6.46320049272728e-07,0.0
radius_zero,2017-01-01,full,254.3601876873988,0.5170268237231286,58.78455915038583,0.00067864958218685,0.0001322451202441,9.540007750904285e-08,0.0
radius_zero,2017-01-01,full_mean,254.36021308650876,0.07119612903133826,58.784559150153136,0.00067864958218685,0.0001322451202441,9.538788043039076e-08,0.0
radius_zero,2017-01-01,scalar,254.36386082409456,0.602797333231746,58.76184576744658,0.001238294880828,0.0001322451202441,9.496664292777707e-08,0.0
radius_zero,2017-01-01,waveform,254.3602149356518,0.19558140526174922,58.784559150136175,0.00067864958218685,0.0001322451202441,9.538931108150577e-08,0.0
radius_zero,2017-04-01,full,17.28971048134717,0.5182740094490741,78.13077459222576,0.0,5.8672240193389995e-05,7.420675584697023e-07,0.0
radius_zero,2017-04-01,full_mean,17.28971048134717,0.0586127508483899,78.13077459222576,0.0,5.8672240193389995e-05,7.420675584697023e-07,0.0
radius_zero,2017-04-01,scalar,17.28611423415376,0.28735427388778667,78.143509989677,0.0,5.86804153043242e-05,7.435459518820803e-07,0.0
radius_zero,2017-04-01,waveform,17.28971048134717,0.19122213267561528,78.13077459222576,0.0,5.8672240193389995e-05,7.420675584697023e-07,0.0
radius_zero,2017-07-01,full,-0.4304709162498359,0.5179858254561559,76.69417497355732,0.0,3.027408540766516e-05,2.8116701229467094e-07,0.0
radius_zero,2017-07-01,full_mean,-0.4313685979389157,0.0553431823581415,76.69417497355732,0.0,3.027408540766516e-05,2.8000176112647753e-07,0.0
radius_zero,2017-07-01,scalar,-0.4370553369146568,0.43213571773826853,76.58555934978314,0.0,3.025628788856223e-05,2.766055314912504e-07,0.0
radius_zero,2017-07-01,waveform,-0.4304709162498359,0.19104379181806647,76.69417497355732,0.0,3.027408540766516e-05,2.8116701229467094e-07,0.0
radius_zero,2017-10-01,full,30.49961177215215,0.5183148821383343,73.75064765936804,0.0,6.302525755287833e-05,6.045287716741355e-07,0.0
radius_zero,2017-10-01,full_mean,30.49959266690599,0.0593118889326755,73.7484305251873,0.0,6.302507859885353e-05,6.043595162921861e-07,0.0
radius_zero,2017-10-01,scalar,30.486309553690567,0.49834726276919306,73.06537385159005,0.0,6.295787087985544e-05,5.557564582007873e-07,0.0
radius_zero,2017-10-01,waveform,30.506518688333074,0.19250952943445104,74.53775867005677,0.0,6.308858879755904e-05,6.703341711287252e-07,0.0
